3.98216 4.20958	-0.23221 0.405462
2.97707 1.34908	-0.157852 -0.301439
4.29237 2.4979	0.0986502 0.0897059
6.17127 -0.0016275	-0.250461 -0.879143
0.591045 2.68212	-0.172064 0.309277
5.0468 0.525518	0.0705468 0.118418
1.59535 2.86682	0.159405 -0.39698
2.75466 5.16414	-0.748326 -0.860105
1.62596 0.0479088	0.0533625 0.295141
4.99716 1.6564	-0.149549 0.373274
0.306537 1.72723	0.63048 0.0450465
3.91008 27.7438	-0.424739 -0.501216
3.29682 2.30696	0.533292 0.0277099
0.904519 3.65018	0.029775 -0.167111
4.64779 3.43792	-0.763657 0.233182
5.37344 5.36031	-0.605205 1.1559
0.447431 28.8032	0.595563 0.807358
4.31255 28.639	0.267555 0.0492715
3.9856 1.47653	-0.0154499 -0.300598
5.66817 3.65262	-0.106626 0.374317
6.47881 2.92852	-0.291344 -0.587278
3.58218 3.29909	-0.091975 0.188619
6.62618 7.06172	-0.626835 0.0587959
4.98805 4.3975	0.53766 0.00240816
1.30377 1.8825	0.491289 0.162017
5.86925 27.835	-0.13967 -0.81754
2.59027 3.06596	-0.274183 0.555807
7.0548 4.66028	-0.294544 0.452874
2.95276 4.1865	0.401185 0.648421
6.02613 4.61709	-0.572993 0.908186
1.9275 3.80951	-0.00805626 -0.280736
1.85805 4.79204	0.337067 0.683932
3.45884 0.446871	0.765361 0.0888117
0.398839 4.92301	0.000307457 -0.321769
2.29012 2.08068	0.340055 0.814363
5.99987 2.01478	0.142538 -0.742185
1.94929 1.06919	0.0619629 -0.0680417
0.94372 0.895159	0.871407 0.250732
5.89467 1.04751	0.359237 -0.548564
5.29692 2.68364	-0.196451 0.76961
4.36967 5.16499	0.612085 0.957683
28.713 3.37759	-0.666132 -0.150995
5.65441 6.30277	0.686543 0.0868684
5.4728 10.5685	0.0360764 -0.656057
1.3092 9.85527	0.307993 0.0416479
28.7858 12.0721	0.543336 0.267413
5.21084 8.878	0.0877451 0.0328942
0.497257 6.95081	-0.306077 -0.302315
3.90863 13.9257	-0.662441 0.981922
2.85372 7.57603	-0.504308 -0.697147
3.02769 11.8225	-0.203844 -0.447703
5.89609 12.2645	-0.389674 -0.128365
0.630876 5.94036	-0.433154 -0.0712775
1.54127 12.719	0.271315 -1.09005
1.83318 7.82954	-0.338955 -0.130664
6.88747 11.8697	-0.0427113 -0.212482
0.597656 12.9383	-0.425689 -0.298314
4.19352 9.07448	0.333848 -0.836033
5.5899 7.97548	0.0199362 -0.4174
3.85494 10.0574	0.190931 -0.29877
28.1996 10.4361	0.205004 -0.630708
28.2193 6.99805	0.0132778 -0.12902
0.337183 10.1221	0.161678 -0.230753
6.55662 13.9857	-0.996484 0.576672
1.31077 10.8729	0.161108 -0.307573
6.50593 10.4176	-0.607334 -0.498466
2.8473 10.2595	-0.416818 0.243595
2.11311 6.81754	-0.185633 -0.207266
0.258234 11.1248	0.376574 0.252856
1.48303 8.76739	0.132824 0.409353
2.54823 8.53828	-0.357045 0.486215
4.11472 11.8193	-0.862421 0.42653
0.235822 13.851	-0.139952 0.781161
3.50237 10.9975	-0.0479143 0.266688
6.79766 9.44859	0.1621 0.621095
4.57195 8.10091	-0.430687 -0.437911
6.11467 11.3006	-0.312251 -0.246502
4.90226 7.12382	0.347824 0.13942
2.21723 9.48626	-0.00239394 0.656046
5.84294 9.62348	-0.612736 -0.638925
28.7125 8.43211	-0.445163 -0.226059
2.98607 13.4945	-0.519544 -0.0654733
